,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Quantity,,,Comercial,,,,Current Date in Cell to the right,,,11-Dec-15,Contact,,
S/N,KAM,Company,New Account,Region,Segment,Vertical,Sub-Vertical, Product , Mobile Plans ,Sales Stage,Capacity, Unit , QTY , NRC , Unit MRC , Total MRC , ARC , Date Identified (mm/dd/yy) , Date Closed (mm/dd/yy) , Duration if Closed , Number of Days in Pipeline (Ageing) ,Name,Phone no,Email address
470,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
471,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
472,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
473,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
474,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
475,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
476,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
477,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
478,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
479,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
480,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
481,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
482,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
483,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
484,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
485,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
486,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
487,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
488,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
489,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
490,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
491,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
492,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
493,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
494,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
495,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
496,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
497,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
498,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
499,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
500,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
501,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
502,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
503,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
504,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
505,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
506,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
507,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
508,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
509,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
510,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
511,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
512,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
513,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
514,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
515,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
516,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
517,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
518,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
519,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
520,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
521,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
522,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
523,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
524,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
525,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
526,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
527,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
528,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
529,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
530,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
531,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
532,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
533,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
534,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
535,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
536,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
537,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
538,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
539,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
540,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
541,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
542,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
543,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
544,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
545,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
546,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
547,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
548,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
549,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
550,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
551,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
552,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
553,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
554,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
555,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
556,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
557,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
558,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
559,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
560,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
561,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
562,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
563,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
564,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
565,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
566,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
567,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
